commit id,author,date,comment,changed files,lines added,lines deleted

9240ac8,liyanpeng,Wed Feb 10 17:48:37 2021,"test code",   266 files changed, 11623 insertions(+), 27 deletions(-) 
6040b34,李燕朋,Wed Jan 6 14:21:00 2021,"Merge remote-tracking branch 'origin/master'", 
e0e3482,李燕朋,Wed Jan 6 14:19:50 2021,"测试tag文档",   1 file changed, 2 insertions(+), 2 deletions(-) 
23edb42,liyanpeng,Sun Dec 27 23:50:55 2020,"author: liyanpeng learning leetcode two sum",   1 file changed, 27 insertions(+) 
9355e8b,liyanpeng,Sun Dec 27 20:45:00 2020,"author: liyanpeng learning leetcode two sum",   8 files changed, 59 insertions(+), 71 deletions(-) 
a6533a4,liyanpeng,Fri Dec 25 15:15:04 2020,"author: liyanpeng learning leetcode two sum",   1 file changed, 77 insertions(+) 
2e64419,liyanpeng,Wed Dec 23 23:38:20 2020,"author: liyanpeng learning scala for and continue and break and while use",   1 file changed, 3 insertions(+) 
3e0079c,liyanpeng,Sat Oct 17 19:19:47 2020,"author: liyanpeng learning scala for and continue and break and while use",   4 files changed, 204 insertions(+), 3 deletions(-) 
bb2b443,liyanpeng,Thu Oct 15 00:12:48 2020,"author: liyanpeng learning scala LogicalOperators and RelationalOperator and assignoper and Exercise use",   6 files changed, 201 insertions(+) 
26f4570,liyanpeng,Wed Oct 14 00:44:07 2020,"author: liyanpeng learning scala",   10 files changed, 307 insertions(+), 145 deletions(-) 
26314ac,liyanpeng,Sun Sep 13 16:46:53 2020,"author: liyanpeng",   15 files changed, 2069 insertions(+), 6769 deletions(-) 
5556c64,liyanpeng,Mon Sep 7 02:48:19 2020,"learning javase language",   36 files changed, 12091 insertions(+), 10 deletions(-) 
5faab6c,liyanpeng,Mon Jun 15 23:48:50 2020,"test: delete  package",   115 files changed, 269 insertions(+), 3056 deletions(-) 
14272d0,liyanpeng,Thu Jun 11 19:52:52 2020,"style: format code style",   10 files changed, 164 insertions(+), 125 deletions(-) 
19d6fb9,liyanpeng,Thu Jun 11 00:15:07 2020,"build: add spring dependencies",   1 file changed, 2 insertions(+), 2 deletions(-) 
aea88a0,liyanpeng,Sun Jun 7 00:31:01 2020,"build: add spring dependencies",   3 files changed, 122 insertions(+), 34 deletions(-) 
9a76d3c,liyanpeng,Thu Jun 4 20:51:13 2020,"build: add data structure and design patterns",   20 files changed, 1206 insertions(+), 27 deletions(-) 